Region,Star,RA,Dec,Distance
Lupus,Sz65,39:27.8,-34:46:17.577,153.47
Lupus,Sz66,39:28.3,-34:46:18.450,155.92
Lupus,J15430131-3409153,43:01.3,-34:09:15.400,158
Lupus,J15430227-3444059,43:02.3,-34:44:06.200,158
Lupus,J15445789-3423392,44:57.9,-34:23:39.500,153.95
Lupus,J15450634-3417378,45:06.3,-34:17:38.332,158
Lupus,J15450887-3417333,45:08.9,-34:17:33.835,154.81
Lupus,Sz68,45:12.8,-34:17:31.071,158
Lupus,Sz69,45:17.4,-34:18:28.685,152.56
Lupus,Sz71,46:44.7,-34:30:36.054,155.2
Lupus,Sz72,47:50.6,-35:28:35.779,156.71
Lupus,Sz73,47:56.9,-35:14:35.185,157.82
Lupus,Sz74,48:05.2,-35:15:53.342,158
Lupus,Sz75,49:12.1,-35:39:05.463,158
Lupus,Sz76,49:30.7,-35:49:51.825,156.4
Lupus,Sz77,51:46.9,-35:56:44.531,155.25
Lupus,Sz81A,55:50.3,-38:01:34.087,158.23
Lupus,J15560210-3655282,56:02.1,-36:55:28.666,157.96
Lupus,Sz82,56:09.2,-37:56:06.452,155.82
Lupus,Sz83,56:42.3,-37:49:15.861,158
Lupus,Sz84,58:02.5,-37:36:03.146,158
Lupus,Sz129,59:16.5,-41:57:10.675,160.13
Lupus,J15592523-4235066,59:25.2,-42:35:06.987,147.25
Lupus,RYLup,59:28.4,-40:21:51.559,158
Lupus,J16000060-4221567,00:00.6,-42:21:57.203,159.43
Lupus,J16000236-4222145,00:02.3,-42:22:14.962,160.39
Lupus,J16002612-4153553,00:26.1,-41:53:55.782,163.17
Lupus,Sz130,00:31.0,-41:43:37.387,159.18
Lupus,MYLup,00:44.5,-41:55:31.319,158
Lupus,Sz131,00:49.4,-41:30:04.263,160.62
Lupus,J16011549-4152351,01:15.5,-41:52:35.515,158
Lupus,EXLup,03:05.5,-40:18:25.834,154.72
Lupus,Sz133,03:29.4,-41:40:02.247,158
Lupus,Sz88A,07:00.6,-39:02:19.913,157.64
Lupus,Sz88B,07:00.6,-39:02:18.100,158.37
Lupus,J16070384-3911113,07:03.8,-39:11:11.900,158
Lupus,J16070854-3914075,07:08.5,-39:14:07.939,171.28
Lupus,Sz90,07:10.1,-39:11:03.647,160.37
Lupus,Sz91,07:11.6,-39:03:47.827,159.39
