Star,Teff,Lstar,logLacc
Sz65,4020,0.869,-2.58
Sz66,3410,0.216,-1.767
J15430131-3409153,,,
J15430227-3444059,,,
J15445789-3423392,2980,0.02,-4.073
J15450634-3417378,,,
J15450887-3417333,2920,0.059,-1.77
Sz68,4710,5.691,-1.158
Sz69,3085,0.087,-2.781
Sz71,3640,0.327,-2.173
Sz72,3560,0.272,-1.765
Sz73,4020,0.466,-0.954
Sz74,3300,1.152,-1.452
Sz75,4115,1.602,-0.655
Sz76,3190,0.172,-2.567
Sz77,4020,0.593,-1.667
Sz81A,3085,0.244,-2.448
J15560210-3655282,,,
Sz82,4210,2.514,-1.064
Sz83,4020,1.46,-0.258
Sz84,2980,0.139,-2.65
Sz129,4020,0.421,-1.138
J15592523-4235066,2980,0.02,-4.419
RYLup,4710,1.844,-0.856
J16000060-4221567,3085,0.097,-3.049
J16000236-4222145,3190,0.171,-2.94
J16002612-4153553,2920,0.078,-3.226
Sz130,3560,0.177,-2.145
MYLup,4870,0.86,-0.644
Sz131,3410,0.15,-2.338
J16011549-4152351,,,
EXLup,3900,0.731,-0.926
Sz133,4210,0.074,-1.752
Sz88A,3900,0.306,-1.404
Sz88B,3085,0.069,-3.303
J16070384-3911113,3085,0,-5.402
J16070854-3914075,,,
Sz90,4020,0.419,-1.79
Sz91,3720,0.2,-1.998
J16073773-3921388,2920,0.017,-3.681
Sz95,3410,0.267,-2.687
J16075475-3915446,,,
J16080017-3902595,2920,0.04,-3.883
J16080175-3912316,,,
Sz96,3720,0.416,-2.513
J16081497-3857145,2920,0.009,-3.643
Sz97,3190,0.109,-3.112
Sz98,4020,1.53,-0.709
Sz99,3190,0.049,-2.804
Sz100,2920,0.106,-3.205
J160828.1-391310,2815,0.046,-5.037
Sz102,4710,0.009,-2.202
Sz103,3190,0.116,-2.612
J16083070-3828268,4710,1.884,-2.009
Sz104,2980,0.065,-3.39
J160831.1-385600,,,
V856Sco,,,
V1094Sco,,,
Sz106,3810,0.057,-2.695
Sz108B,2980,0.1,-3.09
J16084940-3905393,3190,0.151,-3.095
V1192Sco,,,
Sz110,3190,0.175,-2.211
J16085324-3914401,3410,0.198,-3.274
J16085373-3914367,2920,0.003,-3.957
Sz111,3720,0.21,-2.399
J16085529-3848481,2815,0.048,-4.32
Sz112,2980,0.118,-3.395
Sz113,3085,0.038,-2.294
J16085828-3907355,,,
J16085834-3907491,,,
J16090141-3925119,3190,0.093,-3.197
Sz114,3022,0.196,-2.709
Sz115,3085,0.107,-2.921
J16091644-3904438,,,
J16092032-3904015,,,
J16092317-3904074,,,
J16092697-3836269,3085,0.069,-1.5
J160934.2-391513,,,
J16093928-3904316,,,
Sz117,3300,0.274,-2.308
Sz118,4210,0.698,-1.983
J16095628-3859518,2860,0.02,-4.309
J16100133-3906449,2815,0.173,-3.468
J16101307-3846165,,,
J16101857-3836125,2980,0.04,-3.99
J16101984-3836065,2815,0.04,-4.099
J16102741-3902299,,,
J16102955-3922144,3085,0.106,-3.394
Sz123B,3560,0.029,-2.902
Sz123A,3720,0.136,-1.98
J16115979-3823383,,,
J16120445-3809589,,,
J16124373-3815031,3720,0.39,-2.189
J16134410-3736462,2980,0.039,-2.497
AKC2006-18,2815,0.01,-4.583
J154518.5-342125,2815,0.04,-4.284
Lup706,2720,0.002,-4.938
SONYC-Lup3-7,2620,0.01,-4.816
SONYC-Lup3-10,2590,0.002,
J15354856-2958551,3085,0.036,-3.203
J15514032-2146103,3085,0.049,-3.485
J15521088-2125372,,,
J15530132-2114135,3085,0.047,-3.026
J15534211-2049282,3190,0.102,-2.566
J15551704-2322165,,,
J15554883-2512240,,,
J15562477-2225552,,,
J15570641-2206060,,,
J15572986-2258438,,,
J15581270-2328364,,,
J15582981-2310077,3085,0.045,-2.37
J15583692-2257153,4870,2.608,-0.491
J15584772-1757595,,,
J16001330-2418106,,,
J16001730-2236504,,,
J16001844-2230114,3085,0.088,-1.908
J16014086-2258103,3410,0.105,-1.285
J16014157-2111380,,,
J16020039-2221237,,,
J16020287-2236139,,,
J16020757-2257467,3560,0.08,-3.8
J16024152-2138245,2920,0.029,-2.87
J16025123-2401574,,,
J16030161-2207523,,,
J16031329-2112569,,,
J16032225-2413111,,,
J16035767-2031055,4115,0.481,-1.812
J16035793-1942108,3560,0.123,-5.151
J16041740-1942287,3410,0.127,-4.391
J16042165-2130284,4540,0.843,-3.196
J16043916-1942459,,,
J16050231-1941554,,,
J16052459-1954419,,,
J16052556-2035397,,,
J16052661-1957050,,,
J16053215-1933159,,,
J16054540-2023088,3085,0.091,-2.8
J16055863-1949029,,,
J16060061-1957114,,,
J16061330-2212537,,,
J16062196-1928445,3720,0.34,-1.296
J16062277-2011243,,,
J16063539-2516510,3085,0.029,-5.147
J16064102-2455489,,,
J16064115-2517044,,,
J16064385-1908056,4020,0.293,-2.292
J16070014-2033092,,,
J16070211-2019387,,,
J16070873-1927341,,,
J16071971-2020555,,,
J16072625-2432079,3410,0.184,-2.549
J16072747-2059442,,,
J16073939-1917472,,,
J16075796-2040087,,,
J16080555-2218070,,,
J16081566-2222199,3560,0.148,-3.698
J16082324-1930009,3900,0.319,-2.02
J16082751-1949047,2920,0.059,-3.109
J16083455-2211559,,,
J16084894-2400045,,,
J16090002-1908368,3085,0.048,-4.176
J16090075-1908526,3900,0.319,-1.69
J16093558-1828232,,,
J16094098-2217594,,,
J16095361-1754474,3085,0.04,-4.458
J16095441-1906551,,,
J16095933-1800090,,,
J16101473-1919095,,,
J16101888-2502325,,,
J16102174-1904067,,,
J16102819-1910444,,,
J16102857-1904469,,,
J16103956-1916524,,,
J16104202-2101319,,,
J16104636-1840598,3085,0.039,-3.99
J16111330-2019029,3300,0.029,-1.935
J16111534-1757214,,,
J16112057-1820549,,,
J16113134-1838259,,,
J16115091-2012098,,,
J16122737-2009596,,,
J16123916-1859284,3720,0.208,-2.302
J16124893-1800525,,,
J16125533-2319456,,,
J16130996-1904269,,,
J16133650-2503473,3410,0.109,-1.61
J16135434-2320342,3085,0.119,-2.285
J16141107-2305362,4375,1.049,-1.393
J16142029-1906481,,,
J16142893-1857224,,,
J16143367-1900133,3410,0.483,-2.775
J16145918-2750230,,,
J16145928-2459308,,,
J16151239-2420091,,,
