Star,Mstar_S00,logMacc_S00
Sz65,0.725,-9.556
Sz66,0.3125,-8.538
J15430131-3409153,,
J15430227-3444059,,
J15445789-3423392,0.1,-10.74
J15450634-3417378,,
J15450887-3417333,0.1,-8.19
Sz68,1.9099,-8.285
Sz69,0.15,-9.341
Sz71,0.4275,-9.047
Sz72,0.3849,-8.613
Sz73,0.7599,-8.086
Sz74,0.3,-7.813
Sz75,0.79,-7.556
Sz76,0.215,-9.165
Sz77,0.745,-8.738
Sz81A,0.2,-8.911
J15560210-3655282,,
Sz82,0.9099,-7.949
Sz83,0.71,-7.113
Sz84,0.1375,-9.042
Sz129,0.7649,-8.295
J15592523-4235066,0.1,-11.09
RYLup,1.5349,-8.132
J16000060-4221567,0.155,-9.6
J16000236-4222145,0.2175,-9.545
J16002612-4153553,0.1,-9.585
Sz130,0.3675,-9.066
MYLup,1.1475,-7.989
Sz131,0.3025,-9.173
J16011549-4152351,,
EXLup,0.615,-7.842
Sz133,,
Sz88A,0.6349,-8.523
Sz88B,0.15,-9.914
J16070384-3911113,,
J16070854-3914075,,
Sz90,0.7599,-8.945
Sz91,0.4675,-9.035
J16073773-3921388,,
Sz95,0.3174,-9.418
J16075475-3915446,,
J16080017-3902595,0.1,-10.38
J16080175-3912316,,
Sz96,0.4749,-9.398
J16081497-3857145,,
Sz97,0.2,-9.778
Sz98,0.705,-7.551
Sz99,0.1725,-9.578
Sz100,0.1024,-9.51
J160828.1-391310,,
Sz102,,
Sz103,0.2,-9.265
J16083070-3828268,1.5449,-9.284
Sz104,0.105,-9.829
J160831.1-385600,,
V856Sco,,
V1094Sco,,
Sz106,0.5099,-10.06
Sz108B,0.1225,-9.504
J16084940-3905393,0.2125,-9.717
V1192Sco,,
Sz110,0.2175,-8.811
J16085324-3914401,0.31,-10.06
J16085373-3914367,,
Sz111,0.4675,-9.426
J16085529-3848481,,
Sz112,0.135,-9.814
Sz113,0.1174,-8.926
J16085828-3907355,,
J16085834-3907491,,
J16090141-3925119,0.1975,-9.891
Sz114,0.17,-9.132
Sz115,0.1624,-9.473
J16091644-3904438,,
J16092032-3904015,,
J16092317-3904074,,
J16092697-3836269,0.14,-8.08
J160934.2-391513,,
J16093928-3904316,,
Sz117,0.2725,-8.939
Sz118,0.9549,-9.166
J16095628-3859518,,
J16100133-3906449,0.1,-9.625
J16101307-3846165,,
J16101857-3836125,0.1,-10.51
J16101984-3836065,,
J16102741-3902299,,
J16102955-3922144,0.1599,-9.941
Sz123B,0.32,-10.15
Sz123A,0.4575,-9.091
J16115979-3823383,,
J16120445-3809589,,
J16124373-3815031,0.4749,-9.089
J16134410-3736462,0.1,-9.026
AKC2006-18,,
J154518.5-342125,,
Lup706,,
SONYC-Lup3-7,,
SONYC-Lup3-10,,
J15354856-2958551,0.12,-9.856
J15514032-2146103,0.125,-10.09
J15521088-2125372,,
J15530132-2114135,0.125,-9.64
J15534211-2049282,0.1975,-9.241
J15551704-2322165,,
J15554883-2512240,,
J15562477-2225552,,
J15570641-2206060,,
J15572986-2258438,,
J15581270-2328364,,
J15582981-2310077,0.1325,-9.018
J15583692-2257153,1.725,-7.772
J15584772-1757595,,
J16001330-2418106,,
J16001730-2236504,,
J16001844-2230114,0.1574,-8.488
J16014086-2258103,0.2875,-8.175
J16014157-2111380,,
J16020039-2221237,,
J16020287-2236139,,
J16020757-2257467,0.3449,-10.86
J16024152-2138245,,
J16025123-2401574,,
J16030161-2207523,,
J16031329-2112569,,
J16032225-2413111,,
J16035767-2031055,0.8824,-9.022
J16035793-1942108,0.365,-12.14
J16041740-1942287,0.2975,-11.25
J16042165-2130284,1.215,-10.5
J16043916-1942459,,
J16050231-1941554,,
J16052459-1954419,,
J16052556-2035397,,
J16052661-1957050,,
J16053215-1933159,,
J16054540-2023088,0.1599,-9.379
J16055863-1949029,,
J16060061-1957114,,
J16061330-2212537,,
J16062196-1928445,0.4749,-8.225
J16062277-2011243,,
J16063539-2516510,0.115,-11.82
J16064102-2455489,,
J16064115-2517044,,
J16064385-1908056,0.7649,-9.528
J16070014-2033092,,
J16070211-2019387,,
J16070873-1927341,,
J16071971-2020555,,
J16072625-2432079,0.305,-9.343
J16072747-2059442,,
J16073939-1917472,,
J16075796-2040087,,
J16080555-2218070,,
J16081566-2222199,0.365,-10.65
J16082324-1930009,0.62,-9.12
J16082751-1949047,0.1,-9.529
J16083455-2211559,,
J16084894-2400045,,
J16090002-1908368,0.135,-10.82
J16090075-1908526,0.62,-8.79
J16093558-1828232,,
J16094098-2217594,,
J16095361-1754474,0.1274,-11.11
J16095441-1906551,,
J16095933-1800090,,
J16101473-1919095,,
J16101888-2502325,,
J16102174-1904067,,
J16102819-1910444,,
J16102857-1904469,,
J16103956-1916524,,
J16104202-2101319,,
J16104636-1840598,0.1225,-10.63
J16111330-2019029,0.1975,-8.911
J16111534-1757214,,
J16112057-1820549,,
J16113134-1838259,,
J16115091-2012098,,
J16122737-2009596,,
J16123916-1859284,0.4724,-9.335
J16124893-1800525,,
J16125533-2319456,,
J16130996-1904269,,
J16133650-2503473,0.2875,-8.49
J16135434-2320342,0.17,-8.831
J16141107-2305362,1.1625,-8.607
J16142029-1906481,,
J16142893-1857224,,
J16143367-1900133,0.3174,-9.377
J16145918-2750230,,
J16145928-2459308,,
J16151239-2420091,,
J16153456-2242421,,
J16154416-1921171,0.78,-7.459
J16163345-2521505,,
J16181618-2619080,,
J16181904-2028479,0.1,-9.847
J16215466-2043091,,
J16220961-1953005,,
J16230783-2300596,,
J16235385-2946401,,
J16270942-2148457,,
J16303390-2428062,,
J15555600-2045187,,
J15560104-2338081,,
J15591135-2338002,,
J16024575-2304509,,
J16060391-2056443,,
J16100541-1919362,,
J16193976-2145349,,
J10533978-7712338,0.32,-11.75
J10555973-7724399,0.745,-8.398
J10561638-7630530,0.1,-10.64
J10563044-7711393,0.74,-9.216
J10574219-7659356,0.3225,-8.344
J10580597-7711501,,
J10581677-7717170,1.495,-7.618
J10590108-7722407,0.745,-8.649
J10590699-7701404,2.025,-8.529
J11004022-7619280,0.2125,-8.914
J11022491-7733357,1.57,-8.088
J11023265-7729129,0.3225,-10.33
J11025504-7721508,0.1875,-8.479
J11040425-7639328,0.12,-10.38
J11040909-7627193,0.9049,-6.398
J11044258-7741571,0.2075,-10.28
J11045701-7715569,0.3174,-7.581
J11062554-7633418,0.1,-10.37
J11062942-7724586,,
J11063276-7625210,,
J11063945-7736052,0.1024,-105.9
J11064180-7635489,0.1099,-8.826
J11064510-7727023,0.8249,-8.453
J11065906-7718535,0.2125,-7.874
J11065939-7530559,,
J11070925-7718471,,
J11071181-7625501,,
J11071206-7632232,0.62,-8.275
J11071330-7743498,0.1975,-10.59
J11071860-7732516,0.1,-10.51
J11072074-7738073,2.3275,-7.42
J11072825-7652118,0.32,-8.177
J11074245-7733593,0.1,-9.674
J11074366-7739411,0.4775,-7.704
J11074656-7615174,,
J11075730-7717262,,
J11075792-7738449,0.9549,-8.055
J11075809-7742413,0.3075,-8.115
J11080002-7717304,0.715,-9.951
J11080148-7742288,0.705,-7.381
J11080297-7738425,0.465,-8.932
J11081509-7733531,1.5149,-8.778
J11081850-7730408,,
J11082238-7730277,0.1,-9.727
J11082570-7716396,,
J11082650-7715550,,
J11083905-7716042,0.7549,-8.613
J11083952-7734166,0.1,-10
J11085090-7625135,0.1,-10.38
J11085367-7521359,0.4699,-7.885
J11085464-7702129,0.5525,-9.021
J11085497-7632410,0.1,-10.29
J11091812-7630292,0.64,-8.895
J11092266-7634320,0.4525,-9.189
J11092379-7623207,0.53,-7.141
J11094260-7725578,,
J11094621-7634463,0.2775,-9.163
J11094742-7726290,0.4699,-8.89
J11095215-7639128,,
J11095336-7728365,,
J11095340-7634255,0.72,-6.82
J11095407-7629253,0.4625,-9.044
J11095873-7737088,0.5375,-6.768
J11100010-7634578,1.9299,-6.478
J11100369-7633291,0.6349,-9.366
J11100469-7635452,0.735,-9.533
J11100704-7629376,0.72,-8.447
J11100785-7727480,0.1,-10.49
J11101141-7635292,0.9399,-9.414
J11103801-7732399,1.18,-7.807
J11104141-7720480,,
J11104959-7717517,0.3799,-7.577
J11105333-7634319,0.31,-7.726
J11105359-7725004,0.1,-9.85
J11105597-7645325,0.1024,-9.245
J11111083-7641574,,
J11113965-7620152,0.28,-7.218
J11114632-7620092,1.4399,-7.881
J11120351-7726009,0.1,-9.507
J11120984-7634366,0.155,-9.025
J11122441-7637064,1.23,-7.96
J11122772-7644223,1.9175,-7.289
J11123092-7644241,0.545,-7.741
J11124268-7722230,1.9025,-9.398
J11124861-7647066,0.175,-9.415
J11132446-7629227,0.2125,-9.511
J11142454-7733062,0.18,-8.763
J11160287-7624533,,
J11173700-7704381,0.54,-7.905
J11175211-7629392,0.165,-10.79
J11183572-7935548,0.175,-8.641
J11241186-7630425,0.1,-10.28
J11432669-7804454,0.115,-8.356
J162034.2-242613,,
J162118.5-225458,,
J162131.9-230140,,
J162138.7-225328,,
J162142.0-231343,,
J162145.1-234232,,
J162148.5-234027,,
J162157.7-242943,,
J162218.5-232148,,
J162221.0-230402,,
J162225.0-232955,,
J162225.2-240514,,
J162235.6-233734,,
J162241.8-242538,,
J162244.9-231713,,
J162245.4-243124,,
J162247.2-230013,,
J162248.6-230218,,
J162259.8-232635,,
J162305.4-230257,,
J162305.9-233818,,
J162306.9-225737,,
J162308.8-225743,,
J162309.2-241705,,
J162313.7-230358,,
J162315.6-234300,,
J162332.2-242554,,
J162332.8-225847,,
J162334.8-234030,,
J162336.1-240221,,
J162338.5-230545,,
J162350.5-225838,,
