Star,Mstar_Fei,logMacc_Fei
Sz65,0.61,-9.48
Sz66,0.31,-8.54
J15430131-3409153,,
J15430227-3444059,,
J15445789-3423392,0.09,-10.7
J15450634-3417378,,
J15450887-3417333,0.09,-8.14
Sz68,1.32,-8.12
Sz69,0.13,-9.28
Sz71,0.43,-9.05
Sz72,0.39,-8.62
Sz73,0.7,-8.05
Sz74,,
Sz75,0.61,-7.44
Sz76,0.18,-9.1
Sz77,0.67,-8.69
Sz81A,0.18,-8.86
J15560210-3655282,,
Sz82,0.72,-7.85
Sz83,0.55,-7
Sz84,0.13,-9.02
Sz129,0.73,-8.27
J15592523-4235066,0.09,-11.05
RYLup,1.27,-8.05
J16000060-4221567,0.13,-9.53
J16000236-4222145,0.19,-9.48
J16002612-4153553,0.09,-9.54
Sz130,0.41,-9.12
MYLup,1.19,-8
Sz131,0.31,-9.19
J16011549-4152351,,
EXLup,0.53,-7.78
Sz133,,
Sz88A,0.66,-8.54
Sz88B,0.13,-9.84
J16070384-3911113,,
J16070854-3914075,,
Sz90,0.73,-8.93
Sz91,0.53,-9.09
J16073773-3921388,0.09,-10.32
Sz95,0.3,-9.4
J16075475-3915446,,
J16080017-3902595,0.09,-10.34
J16080175-3912316,,
Sz96,0.46,-9.39
J16081497-3857145,,
Sz97,0.18,-9.72
Sz98,0.55,-7.44
Sz99,0.16,-9.56
Sz100,0.11,-9.54
J160828.1-391310,,
Sz102,,
Sz103,0.18,-9.22
J16083070-3828268,1.27,-9.2
Sz104,0.09,-9.76
J160831.1-385600,,
V856Sco,,
V1094Sco,,
Sz106,0.55,-10.09
Sz108B,0.11,-9.44
J16084940-3905393,0.18,-9.65
V1192Sco,,
Sz110,0.19,-8.75
J16085324-3914401,0.31,-10.06
J16085373-3914367,0.09,-10.94
Sz111,0.53,-9.48
J16085529-3848481,,
Sz112,0.12,-9.76
Sz113,0.12,-8.92
J16085828-3907355,,
J16085834-3907491,,
J16090141-3925119,0.18,-9.84
Sz114,0.16,-9.1
Sz115,0.13,-9.39
J16091644-3904438,,
J16092032-3904015,,
J16092317-3904074,,
J16092697-3836269,0.13,-8.04
J160934.2-391513,,
J16093928-3904316,,
Sz117,0.24,-8.89
Sz118,0.83,-9.11
J16095628-3859518,,
J16100133-3906449,,
J16101307-3846165,,
J16101857-3836125,0.09,-10.46
J16101984-3836065,,
J16102741-3902299,,
J16102955-3922144,0.13,-9.86
Sz123B,0.38,-10.23
Sz123A,0.57,-9.19
J16115979-3823383,,
J16120445-3809589,,
J16124373-3815031,0.47,-9.08
J16134410-3736462,0.09,-8.98
AKC2006-18,,
J154518.5-342125,,
Lup706,,
SONYC-Lup3-7,,
SONYC-Lup3-10,,
J15354856-2958551,0.12,-9.84
J15514032-2146103,0.12,-10.08
J15521088-2125372,,
J15530132-2114135,0.12,-9.62
J15534211-2049282,0.18,-9.19
J15551704-2322165,,
J15554883-2512240,,
J15562477-2225552,,
J15570641-2206060,,
J15572986-2258438,,
J15581270-2328364,,
J15582981-2310077,0.12,-8.97
J15583692-2257153,1.48,-7.71
J15584772-1757595,,
J16001330-2418106,,
J16001730-2236504,,
J16001844-2230114,0.13,-8.4
J16014086-2258103,0.31,-8.21
J16014157-2111380,,
J16020039-2221237,,
J16020287-2236139,,
J16020757-2257467,0.44,-10.97
J16024152-2138245,0.09,-9.4
J16025123-2401574,,
J16030161-2207523,,
J16031329-2112569,,
J16032225-2413111,,
J16035767-2031055,0.8,-8.98
J16035793-1942108,0.43,-12.22
J16041740-1942287,0.31,-11.28
J16042165-2130284,1.13,-10.48
J16043916-1942459,,
J16050231-1941554,,
J16052459-1954419,,
J16052556-2035397,,
J16052661-1957050,,
J16053215-1933159,,
J16054540-2023088,0.13,-9.29
J16055863-1949029,,
J16060061-1957114,,
J16061330-2212537,,
J16062196-1928445,0.48,-8.23
J16062277-2011243,,
J16063539-2516510,0.11,-11.82
J16064102-2455489,,
J16064115-2517044,,
J16064385-1908056,0.78,-9.54
J16070014-2033092,,
J16070211-2019387,,
J16070873-1927341,,
J16071971-2020555,,
J16072625-2432079,0.31,-9.35
J16072747-2059442,,
J16073939-1917472,,
J16075796-2040087,,
J16080555-2218070,,
J16081566-2222199,0.42,-10.71
J16082324-1930009,0.66,-9.14
J16082751-1949047,0.09,-9.48
J16083455-2211559,,
J16084894-2400045,,
J16090002-1908368,0.12,-10.77
J16090075-1908526,0.66,-8.81
J16093558-1828232,,
J16094098-2217594,,
J16095361-1754474,0.12,-11.08
J16095441-1906551,,
J16095933-1800090,,
J16101473-1919095,,
J16101888-2502325,,
J16102174-1904067,,
J16102819-1910444,,
J16102857-1904469,,
J16103956-1916524,,
J16104202-2101319,,
J16104636-1840598,0.12,-10.62
J16111330-2019029,0.22,-8.96
J16111534-1757214,,
J16112057-1820549,,
J16113134-1838259,,
J16115091-2012098,,
J16122737-2009596,,
J16123916-1859284,0.53,-9.38
J16124893-1800525,,
J16125533-2319456,,
J16130996-1904269,,
J16133650-2503473,0.31,-8.53
J16135434-2320342,0.14,-8.73
J16141107-2305362,0.92,-8.51
J16142029-1906481,,
J16142893-1857224,,
J16143367-1900133,0.29,-9.34
J16145918-2750230,,
J16145928-2459308,,
J16151239-2420091,,
J16153456-2242421,,
J16154416-1921171,0.75,-7.44
J16163345-2521505,,
J16181618-2619080,,
J16181904-2028479,0.09,-9.8
J16215466-2043091,,
J16220961-1953005,,
J16230783-2300596,,
J16235385-2946401,,
J16270942-2148457,,
J16303390-2428062,,
J15555600-2045187,,
J15560104-2338081,,
J15591135-2338002,,
J16024575-2304509,,
J16060391-2056443,,
J16100541-1919362,,
J16193976-2145349,,
J10533978-7712338,,
J10555973-7724399,0.79,-8.42
J10561638-7630530,,
J10563044-7711393,0.67,-9.18
J10574219-7659356,0.29,-8.3
J10580597-7711501,0.09,-11.56
J10581677-7717170,1.27,-7.55
J10590108-7722407,0.7,-8.62
J10590699-7701404,1.53,-8.41
J11004022-7619280,0.18,-8.84
J11022491-7733357,1.27,-8
J11023265-7729129,0.3,-10.3
J11025504-7721508,0.16,-8.41
J11040425-7639328,0.12,-10.37
J11040909-7627193,0.67,-6.27
J11044258-7741571,0.18,-10.23
J11045701-7715569,0.3,-7.55
J11062554-7633418,0.09,-10.33
J11062942-7724586,,
J11063276-7625210,,
J11063945-7736052,,
J11064180-7635489,0.09,-8.74
J11064510-7727023,0.73,-8.4
J11065906-7718535,,
J11065939-7530559,0.09,-10.78
J11070925-7718471,,
J11071181-7625501,0.09,-11.45
J11071206-7632232,0.56,-8.23
J11071330-7743498,0.17,-10.54
J11071860-7732516,0.09,-10.47
J11072074-7738073,1.59,-7.26
J11072825-7652118,0.29,-8.13
J11074245-7733593,0.09,-9.63
J11074366-7739411,0.46,-7.69
J11074656-7615174,,
J11075730-7717262,,
J11075792-7738449,0.82,-7.99
J11075809-7742413,0.31,-8.12
J11080002-7717304,0.56,-9.85
J11080148-7742288,,
J11080297-7738425,0.55,-9.01
J11081509-7733531,1.43,-8.75
J11081850-7730408,,
J11082238-7730277,0.09,-9.68
J11082570-7716396,,
J11082650-7715550,0.09,-10.78
J11083905-7716042,0.71,-8.59
J11083952-7734166,,
J11085090-7625135,0.09,-10.33
J11085367-7521359,0.5,-7.91
J11085464-7702129,0.64,-9.09
J11085497-7632410,0.09,-10.25
J11091812-7630292,0.65,-8.9
J11092266-7634320,0.58,-9.3
J11092379-7623207,0.46,-7.08
J11094260-7725578,,
J11094621-7634463,0.31,-9.21
J11094742-7726290,0.57,-8.97
J11095215-7639128,,
