Wavelength,FluxDens1,FluxDens2,r_a,r_b,T_r,N_r,pix,res,dis,,,,,,,,
4.2,0.00E+00,0.00E+00,0,5,1000,1.00E+16,0.00002,10000,140,,,,,,,,
4.20002,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20004,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20006,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20008,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2001,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20012,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20014,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20016,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20018,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2002,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20022,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20024,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20026,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20028,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2003,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20032,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20034,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20036,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20038,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2004,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20042,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20044,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20046,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20048,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2005,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20052,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20054,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20056,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20058,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2006,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20062,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20064,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20066,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20068,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2007,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20072,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20074,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20076,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20078,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2008,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20082,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20084,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20086,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20088,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2009,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20092,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20094,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20096,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20098,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.201,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20102,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20104,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20106,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20108,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2011,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20112,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20114,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20116,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20118,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2012,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20122,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20124,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20126,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20128,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2013,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20132,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20134,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20136,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20138,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2014,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20142,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20144,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20146,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20148,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2015,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20152,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20154,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20156,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20158,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2016,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20162,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20164,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20166,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20168,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2017,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20172,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20174,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20176,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20178,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2018,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20182,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20184,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20186,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20188,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2019,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20192,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20194,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20196,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20198,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.202,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
